stop_loss_pct,target_profit_pct,max_reentries,reentry_delay_minutes,max_loss_per_day,total_pnl,sharpe_ratio,avg_daily_pnl,win_rate,max_drawdown,total_trades,winning_trades,losing_trades,avg_win,avg_loss,max_win,max_loss,profit_factor
25,65,10,5,6000,12957.499999999822,0.11337929801804883,392.6515151515097,48.484848484848484,16511.250000000095,182,80,102,1150.656249999999,-775.4411764705891,7153.749999999997,-3252.4999999999955,1.1638219862191015
25,65,10,5,12000,12957.499999999822,0.11337929801804883,392.6515151515097,48.484848484848484,16511.250000000095,182,80,102,1150.656249999999,-775.4411764705891,7153.749999999997,-3252.4999999999955,1.1638219862191015
25,75,10,5,12000,12916.249999999822,0.11263520615072335,391.4015151515097,48.484848484848484,17231.2500000001,188,84,104,1101.9196428571418,-765.8173076923086,7153.749999999997,-3252.4999999999955,1.1621727666520159
25,75,10,5,6000,12916.249999999822,0.11263520615072335,391.4015151515097,48.484848484848484,17231.2500000001,188,84,104,1101.9196428571418,-765.8173076923086,7153.749999999997,-3252.4999999999955,1.1621727666520159
25,85,10,5,12000,12657.499999999822,0.10856667056516967,383.56060606060066,48.484848484848484,19065.0000000001,191,85,106,1102.3088235294108,-764.5165094339634,7153.749999999997,-3252.4999999999955,1.1561907112338208
25,85,10,5,6000,12657.499999999822,0.10856667056516967,383.56060606060066,48.484848484848484,19065.0000000001,191,85,106,1102.3088235294108,-764.5165094339634,7153.749999999997,-3252.4999999999955,1.1561907112338208
20,85,10,5,12000,4209.999999999787,0.036173162808804865,127.57575757575113,42.42424242424242,19896.25000000011,232,108,124,856.8402777777768,-712.328629032259,7153.749999999997,-2960.0000000000023,1.047662850430916
20,65,10,5,12000,2988.749999999787,0.026030140826308036,90.56818181817538,45.45454545454545,19297.50000000011,222,102,120,884.3014705882343,-726.750000000001,7153.749999999997,-2960.0000000000023,1.0342707258341908
20,75,10,5,12000,2661.249999999788,0.02312015184019905,80.64393939393297,42.42424242424242,19896.25000000011,232,108,124,842.4999999999991,-712.328629032259,7153.749999999997,-2960.0000000000023,1.0301289217836749
20,85,10,5,6000,2403.749999999787,0.02010515437707625,72.84090909090264,42.42424242424242,21702.50000000011,231,107,124,847.9672897196252,-712.328629032259,7153.749999999997,-2960.0000000000023,1.0272136761813089
20,65,10,5,6000,1182.4999999997872,0.010019833958700302,35.833333333326884,45.45454545454545,21103.75000000011,221,101,120,875.1732673267317,-726.750000000001,7153.749999999997,-2960.0000000000023,1.013559224859532
20,75,10,5,6000,854.9999999997881,0.0072280340825184655,25.909090909084487,42.42424242424242,21702.50000000011,231,107,124,833.4929906542046,-712.328629032259,7153.749999999997,-2960.0000000000023,1.0096797475340678
30,85,10,5,12000,-1890.0000000001514,-0.016547394211557893,-57.27272727273186,45.45454545454545,21558.75000000007,153,64,89,1332.5781249999989,-979.4943820224729,7153.749999999997,-3582.499999999996,0.9783194723257796
30,65,10,5,12000,-4122.500000000151,-0.0372368787150479,-124.924242424247,45.45454545454545,20247.50000000007,151,63,88,1313.8690476190466,-987.4573863636372,7153.749999999997,-3582.499999999996,0.9525583670181378
30,75,10,5,12000,-4883.750000000151,-0.043964388404290206,-147.99242424242883,45.45454545454545,20967.50000000007,151,63,88,1301.785714285713,-987.4573863636372,7153.749999999997,-3582.499999999996,0.9437979199332521
30,85,10,5,6000,-6525.000000000151,-0.05359149397047171,-197.7272727272773,45.45454545454545,26193.75000000007,150,62,88,1297.3387096774184,-988.181818181819,7153.749999999997,-3582.499999999996,0.9249655013799434
30,65,10,5,6000,-8757.500000000151,-0.07397762588184884,-265.3787878787925,45.45454545454545,24882.50000000007,148,61,87,1277.438524590163,-996.3362068965525,7153.749999999997,-3582.499999999996,0.8989689234984484
30,75,10,5,6000,-9518.750000000151,-0.08019189020375665,-288.4469696969743,45.45454545454545,25602.50000000007,148,61,87,1264.9590163934417,-996.3362068965525,7153.749999999997,-3582.499999999996,0.8901867474223073
