date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,net_PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL
2024-12-27,0,23827.5,23850,185.2,168.05,234.25,114.8,315.0000000000002,235.00000000000256,StopLoss,2024-12-27 09:20:00,2024-12-27 09:56:00,2025-01-02,Friday,,235.00000000000256
2024-12-27,1,23919.55,23900,196.55,134.6,136.75,168.8,1919.9999999999995,1840.000000000003,StopLoss,2024-12-27 10:01:00,2024-12-27 12:18:00,2025-01-02,Friday,,2075.0000000000055
2024-12-27,2,23833.4,23850,161.85,141.7,154.0,125.85,1777.499999999999,1697.5000000000016,Exit,2024-12-27 12:23:00,2024-12-27 15:20:00,2025-01-02,Friday,,3772.5000000000073
2024-12-30,0,23793.65,23800,128.8,127.0,163.1,93.85,-86.2499999999983,-166.24999999999702,StopLoss,2024-12-30 09:20:00,2024-12-30 10:48:00,2025-01-02,Monday,,-166.24999999999702
2024-12-30,1,23833.45,23850,133.8,113.25,101.7,149.5,-311.2499999999994,-391.24999999999807,StopLoss,2024-12-30 10:53:00,2024-12-30 11:03:00,2025-01-02,Monday,,-557.4999999999951
2024-12-30,2,23780.3,23800,126.55,123.15,168.5,93.65,-933.7500000000002,-1013.75,StopLoss,2024-12-30 11:08:00,2024-12-30 11:30:00,2025-01-02,Monday,,-1571.249999999995
2024-12-30,3,23847.6,23850,157.3,102.55,145.05,141.65,-2013.7500000000007,-2093.749999999998,StopLoss,2024-12-30 11:35:00,2024-12-30 12:27:00,2025-01-02,Monday,,-3664.999999999993
2024-12-30,4,23826.45,23850,120.85,154.8,97.6,196.4,-1376.2499999999995,-1456.2499999999982,StopLoss,2024-12-30 12:32:00,2024-12-30 13:30:00,2025-01-02,Monday,,-5121.249999999991
2024-12-30,5,23724.05,23700,155.3,132.65,131.6,167.4,-828.7499999999987,-908.7499999999953,StopLoss,2024-12-30 13:35:00,2024-12-30 13:54:00,2025-01-02,Monday,,-6029.999999999986
2024-12-30,6,23643.9,23650,159.45,128.1,164.65,102.3,1544.9999999999984,1464.9999999999998,Exit,2024-12-30 13:59:00,2024-12-30 15:20:00,2025-01-02,Monday,,-4564.999999999987
2024-12-31,0,23562.4,23550,137.9,116.8,118.6,146.0,-742.4999999999993,-822.4999999999981,StopLoss,2024-12-31 09:20:00,2024-12-31 09:48:00,2025-01-02,Tuesday,,-822.4999999999981
2024-12-31,1,23511.85,23500,147.05,115.7,184.3,97.1,-1398.7499999999993,-1478.7499999999982,StopLoss,2024-12-31 09:53:00,2024-12-31 10:26:00,2025-01-02,Tuesday,,-2301.2499999999964
2024-12-31,2,23543.3,23550,139.3,130.0,178.65,110.85,-1514.999999999999,-1594.9999999999968,StopLoss,2024-12-31 10:31:00,2024-12-31 10:53:00,2025-01-02,Tuesday,,-3896.249999999993
2024-12-31,3,23571.05,23550,177.8,110.3,225.8,80.25,-1346.2500000000002,-1426.2499999999989,StopLoss,2024-12-31 10:58:00,2024-12-31 13:39:00,2025-01-02,Tuesday,,-5322.499999999992
2024-12-31,4,23647.2,23650,153.85,123.5,155.1,110.75,862.5,782.5000000000013,Exit,2024-12-31 13:44:00,2024-12-31 15:20:00,2025-01-02,Tuesday,,-4539.999999999991
2025-01-01,0,23660.85,23650,124.55,110.9,114.4,143.0,-1646.2500000000002,-1726.25,StopLoss,2025-01-01 09:20:00,2025-01-01 09:43:00,2025-01-02,Wednesday,,-1726.25
2025-01-01,1,23602.6,23600,126.6,122.7,166.8,96.65,-1061.2500000000016,-1141.2500000000014,StopLoss,2025-01-01 09:48:00,2025-01-01 10:12:00,2025-01-02,Wednesday,,-2867.5000000000014
2025-01-01,2,23635.55,23650,128.9,120.95,168.2,100.45,-1409.9999999999986,-1489.9999999999975,StopLoss,2025-01-01 10:17:00,2025-01-01 10:47:00,2025-01-02,Wednesday,,-4357.499999999999
2025-01-01,3,23673.7,23650,214.75,86.1,207.95,68.15,1856.25,1776.2500000000014,Exit,2025-01-01 10:52:00,2025-01-01 15:20:00,2025-01-02,Wednesday,,-2581.2499999999973
2025-01-02,0,23765.1,23750,128.35,104.55,161.8,65.9,389.99999999999807,309.9999999999994,StopLoss,2025-01-02 09:20:00,2025-01-02 09:42:00,2025-01-02,Thursday,,309.9999999999994
