date,net_PnL,num_trades,exit_reasons,CumulativePnL,winning_trades,losing_trades
2025-01-31,5765.000000000012,2,"{'StopLoss': 1, 'Exit': 1}",5765.000000000012,2,0
2025-02-03,808.74999999999,4,"{'StopLoss': 3, 'Exit': 1}",6573.750000000002,2,2
2025-02-04,1103.7499999999873,8,"{'StopLoss': 7, 'Exit': 1}",7677.499999999989,3,5
2025-02-05,1149.999999999999,1,{'Exit': 1},8827.499999999989,1,0
2025-02-06,2857.5,3,"{'StopLoss': 2, 'TakeProfit': 1}",11684.999999999989,1,2
2025-02-07,4271.249999999994,3,"{'StopLoss': 2, 'Exit': 1}",15956.249999999982,2,1
2025-02-10,2667.4999999999955,2,"{'StopLoss': 1, 'Exit': 1}",18623.749999999978,2,0
2025-02-11,197.49999999998835,7,"{'StopLoss': 6, 'Exit': 1}",18821.249999999967,2,5
2025-02-12,-5027.500000000019,11,{'StopLoss': 11},13793.749999999949,5,6
2025-02-13,1343.7499999999977,11,{'StopLoss': 11},15137.499999999947,6,5
2025-02-14,588.7499999999894,6,"{'StopLoss': 5, 'Exit': 1}",15726.249999999936,4,2
2025-02-17,-2476.25000000001,7,"{'StopLoss': 6, 'Exit': 1}",13249.999999999927,2,5
2025-02-18,4978.749999999989,4,"{'StopLoss': 3, 'Exit': 1}",18228.749999999916,4,0
2025-02-19,1998.7499999999866,9,"{'StopLoss': 8, 'Exit': 1}",20227.4999999999,6,3
2025-02-20,3860.0,8,"{'StopLoss': 7, 'TakeProfit': 1}",24087.4999999999,5,3
2025-02-21,2793.7499999999977,3,"{'StopLoss': 2, 'Exit': 1}",26881.249999999898,2,1
2025-02-24,5263.749999999998,1,{'Exit': 1},32144.999999999898,1,0
2025-02-25,3228.7499999999986,3,"{'StopLoss': 2, 'Exit': 1}",35373.7499999999,3,0
2025-02-26,358.75000000000006,1,{'StopLoss': 1},35732.4999999999,1,0
2025-02-27,2276.250000000001,3,"{'StopLoss': 2, 'TakeProfit': 1}",38008.7499999999,2,1
