date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,PnL,ExitReason,EntryTime,ExitTime,CumulativePnL
2025-10-24,0,25855.35,25850,147.9,75.75,190.1,59.9,-1976.2499999999995,StopLoss,2025-10-24 09:20:00,2025-10-24 09:38:00,-1976.2499999999995
2025-10-24,1,25906.25,25900,151.5,78.65,110.6,100.15,1455.0000000000005,StopLoss,2025-10-24 09:43:00,2025-10-24 10:17:00,-521.2499999999991
2025-10-24,2,25860.65,25850,120.8,95.9,69.45,127.05,1514.999999999999,StopLoss,2025-10-24 10:22:00,2025-10-24 13:29:00,993.75
2025-10-24,3,25771.5,25750,114.0,82.7,105.85,105.2,-1076.2500000000018,StopLoss,2025-10-24 13:34:00,2025-10-24 13:41:00,-82.50000000000182
2025-10-24,4,25733.15,25750,101.4,104.35,130.95,62.35,933.7500000000013,StopLoss,2025-10-24 13:46:00,2025-10-24 15:03:00,851.2499999999994
2025-10-24,5,25792.65,25800,102.1,86.2,102.2,85.75,26.250000000001705,Exit,2025-10-24 15:08:00,2025-10-24 15:20:00,877.5000000000011
