date,net_PnL,num_trades,exit_reasons,CumulativePnL,winning_trades,losing_trades
2024-12-27,3757.499999999994,3,"{'StopLoss': 2, 'Exit': 1}",3757.499999999994,3,0
2024-12-30,-4600.00000000001,7,"{'StopLoss': 6, 'Exit': 1}",-842.5000000000159,1,6
2024-12-31,-4565.000000000006,5,"{'StopLoss': 4, 'Exit': 1}",-5407.500000000022,1,4
2025-01-01,-2601.2500000000073,4,"{'StopLoss': 3, 'Exit': 1}",-8008.750000000029,1,3
2025-01-02,936.2499999999891,5,"{'StopLoss': 4, 'TakeProfit': 1}",-7072.50000000004,2,3
2025-01-03,2571.2499999999973,2,"{'StopLoss': 1, 'Exit': 1}",-4501.250000000043,1,1
2025-01-06,-10195.000000000015,10,"{'StopLoss': 9, 'Exit': 1}",-14696.250000000058,3,7
2025-01-07,6529.999999999998,1,{'Exit': 1},-8166.25000000006,1,0
2025-01-08,1946.2499999999925,6,"{'StopLoss': 5, 'Exit': 1}",-6220.000000000067,3,3
2025-01-09,2237.4999999999995,2,"{'StopLoss': 1, 'TakeProfit': 1}",-3982.5000000000678,1,1
2025-01-10,1047.4999999999911,4,"{'StopLoss': 3, 'Exit': 1}",-2935.0000000000764,3,1
2025-01-13,4711.2499999999945,4,"{'StopLoss': 3, 'Exit': 1}",1776.2499999999181,4,0
2025-01-14,1426.2499999999936,4,"{'StopLoss': 3, 'Exit': 1}",3202.499999999912,3,1
2025-01-15,586.2499999999927,7,"{'StopLoss': 6, 'Exit': 1}",3788.7499999999045,4,3
2025-01-16,1522.4999999999995,3,"{'StopLoss': 2, 'TakeProfit': 1}",5311.249999999904,2,1
2025-01-17,-625.0000000000036,4,"{'StopLoss': 3, 'Exit': 1}",4686.2499999999,1,3
2025-01-20,1113.7499999999939,3,"{'StopLoss': 2, 'Exit': 1}",5799.999999999894,2,1
2025-01-21,-11836.250000000011,11,{'StopLoss': 11},-6036.250000000117,2,9
2025-01-22,4808.749999999999,1,{'TakeProfit': 1},-1227.5000000001182,1,0
2025-01-23,-818.7500000000014,2,"{'StopLoss': 1, 'TakeProfit': 1}",-2046.2500000001196,1,1
2025-01-24,891.249999999992,5,"{'StopLoss': 4, 'Exit': 1}",-1155.0000000001276,2,3
2025-01-27,929.9999999999923,3,"{'StopLoss': 2, 'Exit': 1}",-225.0000000001353,1,2
2025-01-28,-3106.2500000000055,5,"{'StopLoss': 4, 'Exit': 1}",-3331.250000000141,2,3
2025-01-29,-7017.500000000007,5,"{'StopLoss': 4, 'Exit': 1}",-10348.75000000015,1,4
2025-01-30,6254.999999999997,3,"{'StopLoss': 2, 'TakeProfit': 1}",-4093.750000000152,2,1
2025-01-31,5380.000000000012,2,"{'StopLoss': 1, 'Exit': 1}",1286.24999999986,2,0
2025-02-03,1759.999999999998,1,{'Exit': 1},3046.249999999858,1,0
2025-02-04,-1105.00000000001,7,"{'StopLoss': 6, 'Exit': 1}",1941.2499999998481,2,5
2025-02-05,1129.999999999999,1,{'Exit': 1},3071.249999999847,1,0
2025-02-06,2718.75,3,"{'StopLoss': 2, 'TakeProfit': 1}",5789.999999999847,1,2
2025-02-07,6818.749999999997,1,{'Exit': 1},12608.749999999844,1,0
2025-02-10,2627.4999999999955,2,"{'StopLoss': 1, 'Exit': 1}",15236.24999999984,2,0
2025-02-11,182.49999999999372,5,"{'StopLoss': 4, 'Exit': 1}",15418.749999999834,1,4
2025-02-12,-6605.000000000015,11,{'StopLoss': 11},8813.74999999982,3,8
2025-02-13,4283.749999999995,4,"{'StopLoss': 3, 'TakeProfit': 1}",13097.499999999814,3,1
2025-02-14,-136.25000000000796,5,"{'StopLoss': 4, 'Exit': 1}",12961.249999999807,2,3
2025-02-17,-1890.0000000000064,6,"{'StopLoss': 5, 'Exit': 1}",11071.2499999998,2,4
2025-02-18,4691.2499999999945,3,"{'StopLoss': 2, 'Exit': 1}",15762.499999999794,3,0
2025-02-19,1528.74999999999,8,"{'StopLoss': 7, 'Exit': 1}",17291.249999999785,6,2
2025-02-20,2959.999999999999,1,{'TakeProfit': 1},20251.249999999785,1,0
2025-02-21,2396.2499999999955,3,"{'StopLoss': 2, 'Exit': 1}",22647.49999999978,1,2
2025-02-24,5243.749999999998,1,{'Exit': 1},27891.24999999978,1,0
2025-02-25,2838.749999999998,3,"{'StopLoss': 2, 'Exit': 1}",30729.99999999978,3,0
2025-02-26,338.75000000000006,1,{'StopLoss': 1},31068.74999999978,1,0
2025-02-27,1788.750000000001,3,"{'StopLoss': 2, 'TakeProfit': 1}",32857.49999999978,2,1
2025-02-28,563.7499999999953,4,"{'StopLoss': 3, 'Exit': 1}",33421.249999999774,2,2
2025-03-03,-2067.5000000000123,5,"{'StopLoss': 4, 'Exit': 1}",31353.749999999764,1,4
