datetime,close_ce,close_pe,MinutePnL,CumulativePnL
2025-10-24 13:34:00,114.0,82.7,0.0,0.0
2025-10-24 13:35:00,116.0,81.7,-1.0,-75.0
2025-10-24 13:36:00,118.6,79.35,-1.25,-93.75
2025-10-24 13:37:00,118.4,80.05,-1.75,-131.25
2025-10-24 13:38:00,119.8,78.7,-1.8000000000000114,-135.00000000000085
2025-10-24 13:39:00,105.05,97.25,-5.600000000000023,-420.0000000000017
2025-10-24 13:40:00,107.2,98.9,-9.400000000000034,-705.0000000000025
2025-10-24 13:41:00,105.85,105.2,-14.350000000000023,-1076.2500000000018
