stop_loss_pct,target_profit_pct,max_reentries,reentry_delay_minutes,max_loss_per_day,total_pnl,sharpe_ratio,avg_daily_pnl,win_rate,max_drawdown,total_trades,winning_trades,losing_trades,avg_win,avg_loss,max_win,max_loss,profit_factor
20,75,10,5,10000,2857.5,,2857.5,100.0,0.0,3,1,2,5365.0,-1253.75,5365.0,-1283.7499999999995,2.139581256231306
20,75,10,5,5000,2857.5,,2857.5,100.0,0.0,3,1,2,5365.0,-1253.75,5365.0,-1283.7499999999995,2.139581256231306
25,75,10,5,5000,2857.5,,2857.5,100.0,0.0,3,1,2,5365.0,-1253.75,5365.0,-1283.7499999999995,2.139581256231306
25,75,10,5,10000,2857.5,,2857.5,100.0,0.0,3,1,2,5365.0,-1253.75,5365.0,-1283.7499999999995,2.139581256231306
25,65,10,5,10000,2778.75,,2778.75,100.0,0.0,3,1,2,5286.25,-1253.75,5286.25,-1283.7499999999995,2.108175473579262
25,65,10,5,5000,2778.75,,2778.75,100.0,0.0,3,1,2,5286.25,-1253.75,5286.25,-1283.7499999999995,2.108175473579262
20,65,10,5,5000,2778.75,,2778.75,100.0,0.0,3,1,2,5286.25,-1253.75,5286.25,-1283.7499999999995,2.108175473579262
20,65,10,5,10000,2778.75,,2778.75,100.0,0.0,3,1,2,5286.25,-1253.75,5286.25,-1283.7499999999995,2.108175473579262
25,75,10,10,5000,2078.749999999999,,2078.749999999999,100.0,0.0,2,1,1,3362.4999999999986,-1283.7499999999995,3362.4999999999986,-1283.7499999999995,2.6192794547224927
25,75,10,10,10000,2078.749999999999,,2078.749999999999,100.0,0.0,2,1,1,3362.4999999999986,-1283.7499999999995,3362.4999999999986,-1283.7499999999995,2.6192794547224927
20,75,10,10,10000,890.0000000000001,,890.0000000000001,100.0,0.0,11,8,3,362.03125,-668.75,632.4999999999991,-1283.7499999999995,1.443613707165109
20,75,10,10,5000,890.0000000000001,,890.0000000000001,100.0,0.0,11,8,3,362.03125,-668.75,632.4999999999991,-1283.7499999999995,1.443613707165109
20,65,10,10,5000,404.999999999999,,404.999999999999,100.0,0.0,6,3,3,803.7499999999997,-668.75,1251.2500000000007,-1283.7499999999995,1.2018691588785042
20,65,10,10,10000,404.999999999999,,404.999999999999,100.0,0.0,6,3,3,803.7499999999997,-668.75,1251.2500000000007,-1283.7499999999995,1.2018691588785042
25,65,10,10,10000,8.749999999999318,,8.749999999999318,100.0,0.0,2,1,1,1292.4999999999989,-1283.7499999999995,1292.4999999999989,-1283.7499999999995,1.0068159688412848
25,65,10,10,5000,8.749999999999318,,8.749999999999318,100.0,0.0,2,1,1,1292.4999999999989,-1283.7499999999995,1292.4999999999989,-1283.7499999999995,1.0068159688412848
